customer_id,acquisition_month,acquisition_channel,customer_segment,city_tier
C0001,2025-02,Referral,Core Shoppers,Tier 2
C0002,2024-03,Social,Premium Planners,Tier 3
C0003,2025-04,Referral,Value Seekers,Tier 1
C0004,2024-05,Marketplace,Core Shoppers,Tier 2
C0005,2025-06,Marketplace,Premium Planners,Tier 3
C0006,2024-07,Marketplace,Value Seekers,Tier 1
C0007,2025-08,Organic,Core Shoppers,Tier 2
C0008,2024-09,Search,Premium Planners,Tier 3
C0009,2025-10,Social,Value Seekers,Tier 1
C0010,2024-11,Organic,Core Shoppers,Tier 2
C0011,2025-12,Search,Premium Planners,Tier 3
C0012,2024-01,Search,Value Seekers,Tier 1
C0013,2025-02,Organic,Core Shoppers,Tier 2
C0014,2024-03,Search,Premium Planners,Tier 3
C0015,2025-04,Organic,Value Seekers,Tier 1
C0016,2024-05,Social,Core Shoppers,Tier 2
C0017,2025-06,Search,Premium Planners,Tier 3
C0018,2024-07,Search,Value Seekers,Tier 1
C0019,2025-08,Referral,Core Shoppers,Tier 2
C0020,2024-09,Organic,Premium Planners,Tier 3
C0021,2025-10,Referral,Value Seekers,Tier 1
C0022,2024-11,Social,Core Shoppers,Tier 2
C0023,2025-12,Marketplace,Premium Planners,Tier 3
C0024,2024-01,Marketplace,Value Seekers,Tier 1
C0025,2025-02,Organic,Core Shoppers,Tier 2
C0026,2024-03,Social,Premium Planners,Tier 3
C0027,2025-04,Social,Value Seekers,Tier 1
C0028,2024-05,Search,Core Shoppers,Tier 2
C0029,2025-06,Organic,Premium Planners,Tier 3
C0030,2024-07,Organic,Value Seekers,Tier 1
C0031,2025-08,Referral,Core Shoppers,Tier 2
C0032,2024-09,Referral,Premium Planners,Tier 3
C0033,2025-10,Referral,Value Seekers,Tier 1
C0034,2024-11,Social,Core Shoppers,Tier 2
C0035,2025-12,Organic,Premium Planners,Tier 3
C0036,2024-01,Organic,Value Seekers,Tier 1
C0037,2025-02,Referral,Core Shoppers,Tier 2
C0038,2024-03,Referral,Premium Planners,Tier 3
C0039,2025-04,Marketplace,Value Seekers,Tier 1
C0040,2024-05,Organic,Core Shoppers,Tier 2
C0041,2025-06,Marketplace,Premium Planners,Tier 3
C0042,2024-07,Marketplace,Value Seekers,Tier 1
C0043,2025-08,Search,Core Shoppers,Tier 2
C0044,2024-09,Marketplace,Premium Planners,Tier 3
C0045,2025-10,Marketplace,Value Seekers,Tier 1
C0046,2024-11,Organic,Core Shoppers,Tier 2
C0047,2025-12,Social,Premium Planners,Tier 3
C0048,2024-01,Social,Value Seekers,Tier 1
C0049,2025-02,Referral,Core Shoppers,Tier 2
C0050,2024-03,Marketplace,Premium Planners,Tier 3
C0051,2025-04,Social,Value Seekers,Tier 1
C0052,2024-05,Referral,Core Shoppers,Tier 2
C0053,2025-06,Organic,Premium Planners,Tier 3
C0054,2024-07,Marketplace,Value Seekers,Tier 1
C0055,2025-08,Search,Core Shoppers,Tier 2
C0056,2024-09,Referral,Premium Planners,Tier 3
