order_item_id,order_id,product_id,quantity,list_price_inr,gross_list_value_inr,discount_amount_inr,item_revenue_inr,unit_cogs_inr,cogs_inr,packaging_cost_inr
OI-00001,ORD-00001,P015,1,1399,1399,174.88,1224.12,705.1,705.1,24
OI-00002,ORD-00001,P056,1,449,449,35.92,413.08,250.99,250.99,16
OI-00003,ORD-00002,P022,1,699,699,76.89,622.11,343.91,343.91,24
OI-00004,ORD-00002,P008,1,3499,3499,314.91,3184.09,2708.23,2708.23,42
OI-00005,ORD-00003,P021,2,999,1998,159.84,1838.16,479.52,959.04,48
OI-00006,ORD-00003,P037,2,349,698,38.39,659.61,150.07,300.14,38
OI-00007,ORD-00004,P013,1,999,999,84.92,914.08,479.52,479.52,24
OI-00008,ORD-00004,P058,1,649,649,19.47,629.53,345.92,345.92,16
OI-00009,ORD-00005,P043,1,1199,1199,77.94,1121.06,541.35,541.35,19
OI-00010,ORD-00005,P007,1,2199,2199,197.91,2001.09,1662.44,1662.44,42
OI-00011,ORD-00006,P058,1,649,649,22.72,626.28,345.92,345.92,16
OI-00012,ORD-00006,P035,2,1299,2598,207.84,2390.16,804.73,1609.46,62
OI-00013,ORD-00006,P054,1,299,299,4.49,294.51,159.37,159.37,16
OI-00014,ORD-00007,P047,1,349,349,17.45,331.55,157.57,157.57,19
OI-00015,ORD-00007,P003,1,4999,4999,524.9,4474.1,4209.16,4209.16,42
OI-00016,ORD-00008,P027,2,849,1698,135.84,1562.16,525.96,1051.92,62
OI-00017,ORD-00008,P049,1,649,649,9.74,639.26,337.48,337.48,16
OI-00018,ORD-00009,P044,2,1199,2398,155.87,2242.13,554.24,1108.48,38
OI-00019,ORD-00009,P046,1,599,599,32.95,566.05,264.01,264.01,19
OI-00020,ORD-00010,P038,1,599,599,35.94,563.06,264.01,264.01,19
OI-00021,ORD-00010,P020,2,1899,3798,474.75,3323.25,979.88,1959.76,48
OI-00022,ORD-00011,P014,1,1899,1899,113.94,1785.06,934.31,934.31,24
OI-00023,ORD-00011,P029,2,849,1698,84.9,1613.1,500.91,1001.82,62
OI-00024,ORD-00012,P018,1,1899,1899,132.93,1766.07,934.31,934.31,24
OI-00025,ORD-00012,P007,1,2199,2199,153.93,2045.07,1662.44,1662.44,42
OI-00026,ORD-00012,P023,1,999,999,59.94,939.06,503.5,503.5,24
OI-00027,ORD-00013,P018,1,1899,1899,161.42,1737.58,934.31,934.31,24
OI-00028,ORD-00013,P057,1,649,649,19.47,629.53,337.48,337.48,16
OI-00029,ORD-00014,P024,1,999,999,69.93,929.07,515.48,515.48,24
OI-00030,ORD-00014,P031,1,2299,2299,160.93,2138.07,1424.23,1424.23,31
OI-00031,ORD-00015,P057,1,649,649,6.49,642.51,337.48,337.48,16
OI-00032,ORD-00015,P035,1,1299,1299,103.92,1195.08,804.73,804.73,31
OI-00033,ORD-00016,P045,2,599,1198,71.88,1126.12,257.57,515.14,38
OI-00034,ORD-00016,P060,1,649,649,45.43,603.57,362.79,362.79,16
OI-00035,ORD-00017,P056,1,449,449,15.72,433.28,250.99,250.99,16
OI-00036,ORD-00017,P038,1,599,599,26.95,572.05,264.01,264.01,19
OI-00037,ORD-00018,P023,1,999,999,89.91,909.09,503.5,503.5,24
OI-00038,ORD-00018,P030,1,849,849,76.41,772.59,513.43,513.43,31
