return_id,order_item_id,return_date,return_reason,returned_quantity,refund_amount_inr,return_shipping_cost_inr
RET-0001,OI-02575,2026-09-29,Size Issue,1,789.21,45
RET-0002,OI-01624,2026-08-25,Changed Mind,1,851.15,61
RET-0003,OI-00863,2026-06-27,Changed Mind,1,466.65,70
RET-0004,OI-00562,2026-06-03,Late Delivery,2,1246.08,43
RET-0005,OI-02069,2026-09-15,damaged,2,3197.92,40
RET-0006,OI-02030,2026-09-09,Late Delivery,1,1177.96,41
RET-0007,OI-01938,2026-09-02,changed mind ,1,993.74,50
RET-0008,OI-02457,2026-10-04,Size Issue,1,896.31,38
RET-0009,OI-01996,2026-09-09,Size Issue,2,577.07,68
RET-0010,OI-01162,2026-08-15,late delivery,1,1187.75,69
RET-0011,OI-01388,2026-08-02,Damaged,1,1671.24,42
RET-0012,OI-02111,2026-09-18,changed mind ,1,799.2,45
RET-0013,OI-02142,2026-10-01,size issue,1,1576.17,59
RET-0014,OI-01844,2026-08-15,Damaged,2,5038.56,46
RET-0015,OI-01106,2026-07-02,Changed Mind,1,1578.07,66
RET-0016,OI-00389,2026-06-15,size issue,1,1110.65,38
RET-0017,OI-01079,2026-06-30,Size Issue,1,1759.2,42
RET-0018,OI-01401,2026-07-21,damaged,1,1640.74,68
RET-0019,OI-01128,2026-06-27,Size Issue,2,3327.05,70
RET-0020,OI-00226,2026-04-27,Late Delivery,1,516.06,45
RET-0021,OI-00061,2026-04-21,changed mind ,1,2001.09,45
RET-0022,OI-00357,2026-05-17,damaged,1,847.75,49
RET-0023,OI-01282,2026-08-14,size issue,1,1166.77,63
RET-0024,OI-00605,2026-05-27,changed mind ,1,1110.65,65
RET-0025,OI-01758,2026-08-17,damaged,1,2554.27,54
RET-0026,OI-00566,2026-05-16,late delivery,1,759.86,53
RET-0027,OI-00951,2026-06-21,Size Issue,1,472.14,42
RET-0028,OI-02448,2026-09-30,Late Delivery,1,1119.2,63
RET-0029,OI-02381,2026-09-30,late delivery,1,645.24,49
RET-0030,OI-02493,2026-09-20,late delivery,1,2274.35,38
RET-0031,OI-01595,2026-09-06,changed mind ,2,3027.01,51
RET-0032,OI-00438,2026-06-02,Changed Mind,1,738.63,36
